PROVCN,PROVEN,DISTRICTCN,DISTRICTEN,NAMECN,NAMEEN,AREAID
内蒙古,neimenggu,锡林郭勒,xilinguole,朱日和,zhurihe,101080908
内蒙古,neimenggu,锡林郭勒,xilinguole,东乌旗,dongwuqi,101080909
内蒙古,neimenggu,锡林郭勒,xilinguole,西乌旗,xiwuqi,101080910
内蒙古,neimenggu,锡林郭勒,xilinguole,太仆寺,taipusi,101080911
内蒙古,neimenggu,锡林郭勒,xilinguole,镶黄旗,xianghuangqi,101080912
内蒙古,neimenggu,锡林郭勒,xilinguole,正镶白旗,zhengxiangbaiqi,101080913
内蒙古,neimenggu,锡林郭勒,xilinguole,正蓝旗,zhenglanqi,101080914
内蒙古,neimenggu,锡林郭勒,xilinguole,多伦,duolun,101080915
内蒙古,neimenggu,锡林郭勒,xilinguole,博克图,boketu,101080916
内蒙古,neimenggu,锡林郭勒,xilinguole,乌拉盖,wulagai,101080917
内蒙古,neimenggu,呼伦贝尔,hulunbeier,海拉尔,hailaer,101081001
内蒙古,neimenggu,呼伦贝尔,hulunbeier,小二沟,xiaoergou,101081002
内蒙古,neimenggu,呼伦贝尔,hulunbeier,阿荣旗,arongqi,101081003
内蒙古,neimenggu,呼伦贝尔,hulunbeier,莫力达瓦,molidawa,101081004
内蒙古,neimenggu,呼伦贝尔,hulunbeier,鄂伦春旗,elunchunqi,101081005
内蒙古,neimenggu,呼伦贝尔,hulunbeier,鄂温克旗,ewenkeqi,101081006
内蒙古,neimenggu,呼伦贝尔,hulunbeier,陈旗,chenqi,101081007
内蒙古,neimenggu,呼伦贝尔,hulunbeier,新左旗,xinzuoqi,101081008
内蒙古,neimenggu,呼伦贝尔,hulunbeier,新右旗,xinyouqi,101081009
内蒙古,neimenggu,呼伦贝尔,hulunbeier,满洲里,manzhouli,101081010
内蒙古,neimenggu,呼伦贝尔,hulunbeier,牙克石,yakeshi,101081011
内蒙古,neimenggu,呼伦贝尔,hulunbeier,扎兰屯,zhalantun,101081012
内蒙古,neimenggu,呼伦贝尔,hulunbeier,额尔古纳,eerguna,101081014
内蒙古,neimenggu,呼伦贝尔,hulunbeier,根河,genhe,101081015
内蒙古,neimenggu,呼伦贝尔,hulunbeier,图里河,tulihe,101081016
内蒙古,neimenggu,兴安盟,xinganmeng,乌兰浩特,wulanhaote,101081101
内蒙古,neimenggu,兴安盟,xinganmeng,阿尔山,aershan,101081102
内蒙古,neimenggu,兴安盟,xinganmeng,科右中旗,keyouzhongqi,101081103
内蒙古,neimenggu,兴安盟,xinganmeng,胡尔勒,huerle,101081104
内蒙古,neimenggu,兴安盟,xinganmeng,扎赉特,zhalaite,101081105
内蒙古,neimenggu,兴安盟,xinganmeng,索伦,suolun,101081106
内蒙古,neimenggu,兴安盟,xinganmeng,突泉,tuquan,101081107
内蒙古,neimenggu,通辽,tongliao,霍林郭勒,huolinguole,101081108
内蒙古,neimenggu,兴安盟,xinganmeng,科右前旗,keyouqianqi,101081109
内蒙古,neimenggu,阿拉善盟,alashanmeng,阿左旗,azuoqi,101081201
内蒙古,neimenggu,阿拉善盟,alashanmeng,阿右旗,ayouqi,101081202
内蒙古,neimenggu,阿拉善盟,alashanmeng,额济纳,ejina,101081203
内蒙古,neimenggu,阿拉善盟,alashanmeng,拐子湖,guaizihu,101081204
内蒙古,neimenggu,阿拉善盟,alashanmeng,吉兰太,jilantai,101081205
内蒙古,neimenggu,阿拉善盟,alashanmeng,锡林高勒,xilingaole,101081206
内蒙古,neimenggu,阿拉善盟,alashanmeng,头道湖,toudaohu,101081207
内蒙古,neimenggu,阿拉善盟,alashanmeng,中泉子,zhongquanzi,101081208
内蒙古,neimenggu,阿拉善盟,alashanmeng,诺尔公,nuoergong,101081209
内蒙古,neimenggu,阿拉善盟,alashanmeng,雅布赖,yabulai,101081210
内蒙古,neimenggu,阿拉善盟,alashanmeng,乌斯泰,wusitai,101081211
内蒙古,neimenggu,阿拉善盟,alashanmeng,孪井滩,luanjingtan,101081212
河北,hebei,石家庄,shijiazhuang,石家庄,shijiazhuang,101090101
河北,hebei,石家庄,shijiazhuang,井陉,jingxing,101090102
